,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
0,Google,1998,1000+,4.1,4.3,4.4,4.4,4.3,4.4,4.5
1,Hugosave,2019,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
2,LTIMindtree,1996,1000+,4.0,3.8,3.4,4.0,3.9,4.0,4.3
3,Park+,2019,200 - 500,3.8,3.4,3.6,3.6,3.9,3.7,3.6
4,Ivy Homes,2021,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
5,Treebo,2015,200 - 500,3.4,3.4,3.1,3.6,3.3,4.4,3.0
6,Applied Materials,1967,1000+,4.0,3.5,3.7,3.9,3.9,4.0,4.2
7,Dunzo,2014,200 - 500,3.6,3.1,3.7,3.3,3.6,3.8,3.0
8,MediBuddy,2013,1000+,3.2,2.9,3.2,3.1,3.3,3.1,2.8
9,O4S,2016,50 - 200,4.3,3.8,4.1,4.3,4.4,3.7,4.3
10,Refyne,2020,10 - 50,5.0,4.5,4.5,4.5,5.0,4.5,4.0
11,Richpanel,2018,10 - 50,4.7,4.0,4.8,4.6,4.8,4.9,4.7
12,Truminds Software Systems,2017,200 - 500,4.1,3.4,3.4,4.0,4.1,3.9,4.0
13,Jalan Technologies,2016,10 - 50,4.4,4.2,4.0,4.6,4.4,4.5,4.6
14,RingCentral,2003,1000+,4.6,4.4,4.6,4.6,4.6,4.8,4.5
15,Zoomcar,2012,200 - 500,3.4,3.1,2.9,2.9,3.1,3.0,3.0
16,Head Digital Works,2005,200 - 500,4.1,4.2,4.1,4.0,4.0,3.6,3.9
17,ShopSe,2019,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
18,Univariety,2011,50 - 200,3.6,3.4,3.5,3.8,3.7,3.7,3.9
19,Whatfix,2013,200 - 500,4.1,3.8,4.3,4.1,4.1,4.1,4.3
20,Cargill,1900,1000+,4.0,3.6,3.9,4.0,3.7,4.1,4.0
21,Crayon Data,2012,50 - 200,4.1,3.6,4.0,4.1,4.1,4.2,3.5
22,EagleView,2008,0 - 10,3.5,3.4,3.4,3.4,3.2,3.4,3.0
23,GoKwik,2020,50 - 200,4.5,4.4,4.4,4.6,4.6,4.5,4.5
24,HDFC Life,2000,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
25,Jupiter,2019,50 - 200,4.4,3.9,4.1,4.2,4.2,4.2,4.0
26,Thence,2012,50 - 200,4.1,3.6,3.4,3.9,4.0,4.4,3.5
27,Tranzact,2017,10 - 50,3.8,3.1,3.4,3.9,3.7,4.3,3.0
28,upGrad,2015,50 - 200,3.8,3.1,3.7,3.5,3.8,3.8,3.5
29,Zenda,2021,10 - 50,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30,BillDesk,2000,500 - 1000,3.4,3.5,2.5,2.9,3.2,2.9,3.0
31,Evolving Systems,1985,200 - 500,3.3,3.4,3.2,3.1,2.9,3.2,2.5
32,OneCode.in,2019,50 - 200,4.9,4.6,4.8,4.9,5.0,4.9,5.0
33,Quotient Technology,1998,500 - 1000,4.0,3.8,3.7,4.0,3.9,4.0,4.0
34,Twenty Point Nine Five Ventures,2022,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
35,Art Attack Animation,2018,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
36,CashFlo,2017,10 - 50,4.0,4.2,4.2,4.3,3.9,4.3,5.0
37,GlobalLogic,2000,1000+,4.1,4.1,3.6,4.1,3.9,4.0,4.3
38,Lenskart.com,2008,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
39,Paytm,2000,1000+,3.8,3.4,3.5,3.4,3.8,3.6,3.7
40,SLK,2000,1000+,3.7,3.5,3.3,3.6,3.7,3.7,3.7
41,Stable Money,2022,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
42,Suraasa,2017,50 - 200,4.9,4.3,4.6,4.9,4.9,4.9,5.0
43,DeNovo Systems,2014,10 - 50,4.5,4.5,3.4,2.5,4.1,1.0,2.0
44,Eight Network,2021,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
45,Hewlett Packard Enterprise (HPE),2015,1000+,4.2,4.4,3.6,4.4,3.9,4.4,4.5
46,InBetween,1992,10 - 50,3.2,2.9,2.3,3.2,2.9,2.9,3.3
47,Intellect Design Arena,2014,1000+,4.1,3.9,4.0,4.1,4.1,4.1,4.2
48,OrangeMantra,2001,50 - 200,4.4,4.3,4.2,4.3,4.4,4.4,4.7
49,Verizon Communications,1983,1000+,3.8,3.5,4.1,3.7,3.7,4.1,3.6
50,Yangpoo Executive Education,2016,50 - 200,3.8,3.2,3.5,3.6,3.7,3.6,3.9
51,Advanced Business and Healthcare India,2010,1000+,3.6,3.9,3.2,3.7,3.7,4.0,3.5
52,Arintra,2020,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
53,Baygrape Technology Solutions,2016,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
54,Mashreq Bank,1967,1000+,3.7,3.1,3.7,3.5,3.6,3.6,3.5
55,Mensa Brands,2017,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
56,Swimlane,2014,200 - 500,4.0,3.8,3.7,4.0,3.9,4.0,4.0
57,Zepto,2021,1000+,3.7,3.0,3.7,3.5,3.9,3.4,3.5
58,ARi,2006,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
59,Asentech,2007,50 - 200,4.2,3.9,3.9,4.0,4.2,4.1,4.2
60,Donyati,2015,50 - 200,4.2,4.5,4.3,4.4,4.2,4.3,4.3
61,ElectricPe,2021,10 - 50,4.6,4.1,4.2,4.5,4.7,4.1,4.5
62,Loop Kitchen,2022,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
63,WeRize,2019,50 - 200,4.0,2.3,3.6,3.6,3.6,3.3,2.4
