,job_id,company_name,designation,industry,experience_req
0,J1,Google,Business Systems Analyst,Data Science and Analysis,5-9 Years
1,J2,Hugosave,Technical Writer,IT Operations and Support,7-10 Years
2,J3,LTIMindtree,AEM Developer,Software Engineering,3-6 Years
3,J4,LTIMindtree,Big Data - Java Spark Developer,Software Engineering,5-6 Years
4,J5,LTIMindtree,Informatica IICS Developer,Software Engineering,5-6 Years
5,J6,LTIMindtree,Oracle - UFT Testing,Software Engineering,3-5 Years
6,J7,LTIMindtree,PL / SQL Developer,IT Operations and Support,5-6 Years
7,J8,LTIMindtree,Snowflake Developer,Software Engineering,5-6 Years
8,J9,Park+,Key Account Manager,Sales and Business,Fresher
9,J10,Park+,Sales Executive,Sales and Business,1-3 Years
10,J11,Ivy Homes,Sales / Senior Sales Associate,Sales and Business,1-5 Years
11,J12,LTIMindtree,.NET Azure Fullstack Developer,Software Engineering,3-6 Years
12,J13,LTIMindtree,Automation Testing,Software Engineering,5-6 Years
13,J14,LTIMindtree,Azure Databricks Developer,Software Engineering,5-6 Years
14,J15,LTIMindtree,Azure DevOps,IT Operations and Support,4-6 Years
15,J16,LTIMindtree,GCP Developer,Software Engineering,5-6 Years
16,J17,LTIMindtree,React.js Developer,Software Engineering,3-6 Years
17,J18,Treebo,Regional Supply Head,Sales and Business,5-8 Years
18,J19,Treebo,"Territory Sales Manager (Gujarat, Chandigarh, Indore)",Sales and Business,2-6 Years
19,J20,Treebo,"Territory Sales Manager (Jamshedpur, Kolkata, Ranchi)",Sales and Business,2-6 Years
20,J21,Applied Materials,Software Technologist,Software Engineering,3-7 Years
21,J22,Dunzo,Associate Sales (Mumbai),Sales and Business,1-2 Years
22,J23,Dunzo,Enterprise - Sales Manager,Sales and Business,2-4 Years
23,J24,Google,Senior Software Engineer - Full Stack,Software Engineering,6-10 Years
24,J25,MediBuddy,Associate / Sr. Associate - Inside Sales,Sales and Business,1-5 Years
25,J26,O4S,Associate - Sales Representative / Inside Sales,Sales and Business,1-5 Years
26,J27,Refyne,Senior Content Marketer - B2C,Marketing,4-7 Years
27,J28,Richpanel,Product Support Engineer / Customer Support,Sales and Business,3-7 Years
