,designation,company_name,location,estab_year,employees_count,job_description,skills,hr_name,experience_req,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
0,Business Systems Analyst (Drive),Google,Hyderabad,Founded in 1998,More than 1000 employees,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Finance
Marketing
Microsoft Excel
Product Management
Sales
UI Testing
UX Design","Aneesh Vikram
Recruiting Specialist
at Google",5-9 Years,4.1,4.3,4.4,4.4,4.3,4.4,4.5
1,Technical Writer (Drive),Hugosave,Hyderabad,Founded in 2019,10 - 50 employees,Function: IT Operations and Support → Technical Writing,"Postman
Swagger
Technical Writing","Neha Khaitan
Talent Acquisition Specialist
at Hugosave",7-10 Years,,,,,,,
2,AEM Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Other Software Development,Adobe Experience Manager (AEM),"Akshata
Recruiter
at LTIMindtree",3-6 Years,4,3.8,3.4,4,3.9,4,4.3
3,Big Data - Java Spark Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Amazon Redshift
Big Data
Data Analysis
Data Warehousing
ETL
Java
Spark","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
4,Informatica IICS Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Informatica
Informatica PowerCenter","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
5,Oracle - UFT Testing (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"Automation Testing
QTP","Akshata
Recruiter
at LTIMindtree",3-5 Years,4,3.8,3.4,4,3.9,4,4.3
6,PL / SQL Developer (Drive),LTIMindtree,"Bangalore, Hyderabad, Mumbai",Founded in 1996,More than 1000 employees,Function: IT Operations and Support → Database Admin / Development,"Oracle RAC
PL-SQL","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
7,Snowflake Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Data Warehousing
ETL
SQL
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
8,Key Account Manager (Drive),Park+,Gurgaon,Founded in 2019,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Channel Sales
Corporate Sales
Key Account Management
Sales","Hitesh Gupta
Recruiter
at Park+",0-1 Years,3.8,3.4,3.6,3.6,3.9,3.7,3.6
9,Sales Executive (Drive),Park+,"Jaipur, Lucknow",Founded in 2019,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Channel Sales
Corporate Sales
Sales","Hitesh Gupta
Recruiter
at Park+",1-3 Years,3.8,3.4,3.6,3.6,3.9,3.7,3.6
10,Sales / Senior Sales Associate (Drive),Ivy Homes,Bangalore,Founded in 2021,0 - 10 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales","Pritam Thakur
Co-Founder
at Ivy Homes",1-5 Years,,,,,,,
11,.NET Azure Fullstack Developer (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → Backend Development,".NET
ASP.NET
Angular
Azure
Bootstrap
C#
CSS
HTML","Akshata
Recruiter
at LTIMindtree",3-6 Years,4,3.8,3.4,4,3.9,4,4.3
12,Automation Testing (Drive),LTIMindtree,Bangalore,Founded in 1996,More than 1000 employees,Function: Software Engineering → QA / SDET,"API Testing
Appium
Cucumber
JMeter
Java
Mobile Apps Testing
Performance Testing
Python
Ruby
SDET
Selenium
SoapUI","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
13,Azure Databricks Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"Databricks
Hadoop
Spark
ETL
PySpark
Snowflake","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
14,Azure DevOps (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: IT Operations and Support → DevOps / Cloud,"Ansible
Azure
Azure DevOps Server
CI - CD
DevOps
Kafka","Akshata
Recruiter
at LTIMindtree",4-6 Years,4,3.8,3.4,4,3.9,4,4.3
15,GCP Developer (Drive),LTIMindtree,"Bangalore, Chennai, Mumbai",Founded in 1996,More than 1000 employees,Function: Software Engineering → Big Data / DWH / ETL,"BigQuery
Google Cloud
Python
Dataflow","Akshata
Recruiter
at LTIMindtree",5-6 Years,4,3.8,3.4,4,3.9,4,4.3
16,React.js Developer (Drive),LTIMindtree,Mumbai,Founded in 1996,More than 1000 employees,Function: Software Engineering → Frontend Development,"CSS
HTML
JavaScript
React.js
jQuery","Akshata
Recruiter
at LTIMindtree",3-6 Years,4,3.8,3.4,4,3.9,4,4.3
17,Regional Supply Head (Drive),Treebo,"Kolkata, Mumbai",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Profit and Loss Management
Strategic Planning","Advita Karkera
Talent Acquisition Executive
at Treebo",5-8 Years,3.4,3.4,3.1,3.6,3.3,4.4,3
18,"Territory Sales Manager (Gujarat, Chandigarh, Indore) (Drive)",Treebo,"Chandigarh, Gandhinagar, Indore",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Corporate Sales
Direct Sales
Sales","Advita Karkera
Talent Acquisition Executive
at Treebo",2-6 Years,3.4,3.4,3.1,3.6,3.3,4.4,3
19,"Territory Sales Manager (Jamshedpur, Kolkata, Ranchi) (Drive)",Treebo,"Jamshedpur, Kolkata, Ranchi",Founded in 2015,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Direct Sales
Sales","Advita Karkera
Talent Acquisition Executive
at Treebo",2-6 Years,3.4,3.4,3.1,3.6,3.3,4.4,3
20,Software Technologist (Drive),Applied Materials,"Bangalore, Chennai",Founded in 1967,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"C#
C++
Java
Linux
Oracle Access Manager
Oracle Database
PostgreSQL
PowerShell
Python
Shell Scripting
Windows","Pallavi Choudhary
Talent Acquisition Specialist
at Applied Materials",3-7 Years,4,3.5,3.7,3.9,3.9,4,4.2
21,Associate Sales (Mumbai) (Drive),Dunzo,Mumbai,Founded in 2014,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"Field Work
Lead Generation
Sales","Shreya Shandilya
Recruiter
at Dunzo",1-2 Years,3.6,3.1,3.7,3.3,3.6,3.8,3
22,Enterprise - Sales Manager (Drive),Dunzo,"Bangalore, Delhi, Mumbai",Founded in 2014,200 - 500 employees,Function: Sales and Business → Sales / Business Development,"CRM
Corporate Sales
HLOOKUP
Jira
Key Account Management
Sales","Sindhu Muttiravala
Talent Acquisition Associate
at Dunzo",2-4 Years,3.6,3.1,3.7,3.3,3.6,3.8,3
23,Senior Software Engineer - Full Stack (Drive),Google,"Bangalore, Hyderabad",Founded in 1998,More than 1000 employees,Function: Software Engineering → Full-Stack Development,"API Testing
Angular
Database Development
Distributed Systems
Java
NoSQL
RDBMS
React.js
TypeScript","Hari Hara Eshwaran S
Recruiter
at Google",6-10 Years,4.1,4.3,4.4,4.4,4.3,4.4,4.5
24,Associate / Sr. Associate - Inside Sales (Drive),MediBuddy,Bangalore,Founded in 2013,More than 1000 employees,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Key Account Management
Lead Generation
LinkedIn Sales Navigator","Sadhana
Senior Associate
at MediBuddy",1-5 Years,3.2,2.9,3.2,3.1,3.3,3.1,2.8
