,job_id,skills
0,J1,Finance
1,J1,Marketing
2,J1,Microsoft Excel
3,J1,Product Management
4,J1,Sales
5,J1,UI Testing
6,J1,UX Design
7,J2,Postman
8,J2,Swagger
9,J2,Technical Writing
10,J3,Adobe Experience Manager (AEM)
11,J4,Amazon Redshift
12,J4,Big Data
13,J4,Data Analysis
14,J4,Data Warehousing
15,J4,ETL
16,J4,Java
17,J4,Spark
18,J5,Informatica
19,J5,Informatica PowerCenter
20,J6,Automation Testing
21,J6,QTP
22,J7,Oracle RAC
23,J7,PL-SQL
24,J8,Data Warehousing
25,J8,ETL
26,J8,SQL
27,J8,Snowflake
28,J9,Channel Sales
29,J9,Corporate Sales
30,J9,Key Account Management
31,J9,Sales
32,J10,Channel Sales
33,J10,Corporate Sales
34,J10,Sales
35,J11,Business Development
36,J11,Lead Generation
37,J11,Sales
38,J12,.NET
39,J12,ASP.NET
40,J12,Angular
41,J12,Azure
42,J12,Bootstrap
43,J12,C#
44,J12,CSS
45,J12,HTML
46,J13,API Testing
47,J13,Appium
48,J13,Cucumber
49,J13,JMeter
50,J13,Java
51,J13,Mobile Apps Testing
52,J13,Performance Testing
53,J13,Python
54,J13,Ruby
55,J13,SDET
56,J13,Selenium
57,J13,SoapUI
58,J14,Databricks
59,J14,Hadoop
60,J14,Spark
61,J14,ETL
62,J14,PySpark
63,J14,Snowflake
64,J15,Ansible
65,J15,Azure
66,J15,Azure DevOps Server
67,J15,CI - CD
68,J15,DevOps
69,J15,Kafka
70,J16,BigQuery
71,J16,Google Cloud
72,J16,Python
73,J16,Dataflow
74,J17,CSS
75,J17,HTML
76,J17,JavaScript
77,J17,React.js
78,J17,jQuery
79,J18,Business Development
80,J18,Channel Sales
81,J18,Profit and Loss Management
82,J18,Strategic Planning
83,J19,Business Development
84,J19,Channel Sales
85,J19,Corporate Sales
86,J19,Direct Sales
87,J19,Sales
88,J20,Business Development
89,J20,Corporate Sales
90,J20,Direct Sales
91,J20,Sales
92,J21,C#
93,J21,C++
94,J21,Java
95,J21,Linux
96,J21,Oracle Access Manager
97,J21,Oracle Database
98,J21,PostgreSQL
99,J21,PowerShell
100,J21,Python
101,J21,Shell Scripting
102,J21,Windows
103,J22,Field Work
104,J22,Lead Generation
105,J22,Sales
106,J23,CRM
107,J23,Corporate Sales
108,J23,HLOOKUP
109,J23,Jira
110,J23,Key Account Management
111,J23,Sales
112,J24,API Testing
113,J24,Angular
114,J24,Database Development
115,J24,Distributed Systems
116,J24,Java
117,J24,NoSQL
118,J24,RDBMS
119,J24,React.js
120,J24,TypeScript
121,J25,Corporate Sales
122,J25,Key Account Management
123,J25,Lead Generation
124,J25,LinkedIn Sales Navigator
125,J26,Corporate Sales
126,J26,Key Account Management
127,J26,Lead Generation
128,J26,LinkedIn Sales Navigator
129,J27,Content Marketing
130,J27,Content Writing
131,J27,SEO
132,J27,Social Media Marketing
133,J28,Customer Service
134,J28,Desktop Troubleshooting
135,J28,L2 Support
136,J29,Business Development
137,J29,Channel Sales
138,J29,Corporate Sales
139,J29,Direct Sales
140,J29,Sales
141,J30,Angular
142,J30,Java
143,J30,JavaScript
144,J30,Node.js
145,J30,React.js
146,J30,Spring
147,J30,jQuery
148,J31,Algorithms
149,J31,C
150,J31,C++
151,J31,Computer Vision
152,J31,Data Structures
153,J31,Devicenet
154,J31,Hardware
155,J31,Image Processing
156,J31,Industrial Automation
157,J31,Microarrays
158,J31,Modbus
159,J31,Python
160,J31,RS232
161,J31,Visual Studio
162,J32,C#
163,J32,C++
164,J32,Golang
165,J32,Java
166,J32,JavaScript
167,J32,Linux
168,J32,Python
169,J32,Unix
170,J33,Cloud Computing
171,J33,Hadoop
172,J33,Hive
173,J33,Java
174,J33,Jupyter
175,J33,Spark
176,J34,Database Administration
177,J34,Database Development
178,J34,Distributed Systems
179,J34,jQuery
180,J35,C
181,J35,C++
182,J35,Networking
183,J36,Google Ads
184,J36,SEM
185,J36,SEO
186,J37,Brand Management
187,J37,Content Marketing
188,J37,Facebook Marketing
189,J37,KPI
190,J37,LinkedIn Marketing
191,J37,Social Media Marketing
192,J38,Accounting
193,J38,CPA
194,J38,ERPS
195,J38,Finance
196,J38,Financial Reporting
197,J38,NetSuite
198,J38,Payroll Management
199,J39,Content Marketing
200,J39,Content Writing
201,J39,English Content
202,J40,Performance Marketing
203,J40,SEM
204,J40,SEO
205,J40,Social Media Marketing
206,J41,Apache Beam
207,J41,Java
208,J41,JavaScript
209,J41,Linux
210,J41,NoSQL
211,J41,React.js
212,J41,Spring
213,J41,Spring Boot
214,J41,Tomcat
215,J41,jQuery
216,J42,IT Recruitment
217,J42,Non IT Recruitment
218,J42,Recruitment
219,J43,Customer Service
220,J43,KYC
221,J44,Anaplan
222,J44,Architecture
223,J44,FPA
224,J44,Finance
225,J44,L1 Support
226,J44,L2 Support
227,J44,SQL
228,J44,Solution Architecture
229,J44,Stakeholder Management
230,J45,Mapping
231,J45,NBFC
232,J45,Product Lifecycle Management
233,J45,Product Management
234,J46,Business Development
235,J46,Corporate Sales
236,J46,Direct Sales
237,J46,International Sales
238,J46,Sales
239,J46,Telecalling
240,J47,Corporate Strategy
241,J47,Customer Relationship
242,J47,Customer Service
243,J47,Key Account Management
244,J47,Retention Management
245,J47,Stakeholder Management
246,J47,Strategic Planning
247,J48,Business Development
248,J48,Channel Sales
249,J48,Corporate Sales
250,J48,Direct Sales
251,J48,International Sales
252,J48,Sales
253,J49,Corporate Sales
254,J49,International Sales
255,J49,Key Account Management
256,J49,LinkedIn Sales Navigator
257,J50,Corporate Sales
258,J50,Farming
259,J50,International Sales
260,J50,Key Account Management
261,J51,Corporate Sales
262,J51,Distribution
263,J51,Lead Generation
264,J51,Sales
265,J52,.NET
266,J52,Algorithms
267,J52,Architecture
268,J52,Data Structures
269,J52,HTTP
270,J52,Java
271,J52,Node.js
272,J52,Spring Boot
273,J53,Accounting
274,J53,Auditing
275,J53,Chartered Accountant
276,J53,Direct Taxation
277,J53,Financial Analysis
278,J53,GST
279,J53,Income Tax
280,J53,Indirect Taxation
281,J53,NetSuite
282,J53,SEZ
283,J53,STPI
284,J53,TDS
285,J53,Taxation
286,J54,Corporate Events
287,J54,Cultural Events
288,J54,Event Management
289,J54,Event Marketing
290,J54,Event Planning
291,J55,Accounting
292,J55,Auditing
293,J55,Finance
294,J55,GST
295,J55,Income Tax
296,J55,MIS
297,J55,Sales Tax
298,J55,TDS
299,J55,Taxation
300,J56,Business Development
301,J56,Corporate Sales
302,J56,Key Account Management
303,J56,Sales
304,J57,AWS
305,J57,CI - CD
306,J57,Cloud Computing
307,J57,DevOps
308,J57,Linux
309,J58,Business Development
310,J58,Channel Sales
311,J58,Corporate Banking
312,J58,Corporate Loans
313,J58,Corporate Sales
314,J58,Corporate Strategy
315,J58,Key Account Management
316,J58,Marketing
317,J58,Microsoft Office
318,J58,Partnerships
319,J58,Product Marketing
320,J58,Retail Banking
321,J58,Retail Loans
322,J58,Retail Marketing
323,J58,Sales
324,J58,Stakeholder Management
325,J58,Strategic Planning
326,J59,Business Development
327,J59,Corporate Sales
328,J59,Key Account Management
329,J59,Lead Generation
330,J59,Telecalling
331,J60,Business Development
332,J60,Corporate Sales
333,J60,International Sales
334,J60,Key Account Management
335,J60,LinkedIn Sales Navigator
336,J60,Telecalling
337,J61,Corporate Sales
338,J61,Distribution
339,J61,Lead Generation
340,J61,Sales
341,J62,Corporate Sales
342,J62,Distribution
343,J62,Lead Generation
344,J62,Sales
345,J63,Corporate Sales
346,J63,Distribution
347,J63,Lead Generation
348,J63,Sales
349,J64,Business Analysis
350,J64,Documentation
351,J64,Microsoft Excel
352,J64,Power BI
353,J64,R
354,J64,SQL
355,J64,Tableau
356,J65,Customer Interaction
357,J65,Customer Relationship
358,J65,Escalation Management
359,J65,Google Data Studio
360,J65,Microsoft Excel
361,J65,SQL
362,J66,Business Development
363,J66,Corporate Sales
364,J66,Sales
365,J67,Channel Sales
366,J67,Corporate Sales
367,J67,Direct Sales
368,J67,Key Account Management
369,J67,Sales
370,J68,Back Office Operations
371,J68,Bill Processing
372,J68,Employee Induction
373,J68,Google Workspace
374,J68,Human Capital Management
375,J68,Inventory Management
376,J68,Microsoft Excel
377,J68,Office Operations
378,J68,Policy Formulation
379,J68,Procurement
380,J68,Vendor Management
381,J69,Business Development
382,J69,Channel Sales
383,J69,Direct Sales
384,J69,Sales
385,J70,Business Development
386,J70,Channel Sales
387,J70,Direct Sales
388,J70,Sales
389,J71,Java
390,J71,Architecture
391,J71,SOAP
392,J71,UML
393,J71,Spring Boot
394,J72,Java
395,J72,J2EE
396,J72,Spring Boot
397,J72,Microservices
398,J73,Instructional Design
399,J74,Angular
400,J74,JavaScript
401,J74,HTML
402,J74,Google Cloud
403,J74,CSS
404,J75,Angular
405,J75,JavaScript
406,J75,HTML
407,J75,CSS
408,J75,Google Cloud
409,J76,Java
410,J76,Spring Boot
411,J76,Microservices
412,J76,MongoDB
413,J76,AWS
414,J77,Business Development
415,J77,Channel Sales
416,J77,Direct Sales
417,J77,Key Account Management
418,J77,Sales
419,J78,Customer Interaction
420,J78,Customer Service
421,J78,Freshdesk
422,J78,Microsoft Excel
423,J78,Zendesk
424,J79,Java
425,J79,Python
426,J79,Golang
427,J79,AWS
428,J80,React Native
429,J80,Flutter
430,J80,React.js
431,J81,Sales
432,J81,Business Development
433,J81,Graphic Design
434,J81,2D Animation
435,J81,UX Design
436,J82,Java
437,J82,Spring Boot
438,J82,SOAP
439,J82,REST Assured
440,J82,Payment Solutions
441,J83,Node.js
442,J83,AWS
443,J83,Kafka
444,J83,Python
445,J83,CI - CD
446,J84,.NET
447,J84,Microservices
448,J84,Angular
449,J84,Azure
450,J84,ASP.NET
451,J85,.NET
452,J85,Angular
453,J85,ASP.NET
454,J85,Azure
455,J85,Microservices
456,J86,iOS
457,J86,Objective-C
458,J86,Swift
459,J86,Cocoa
460,J87,Payment Solutions
461,J87,Product Management
462,J88,Java
463,J88,MQL
464,J88,ENOVIA
465,J88,TCL
466,J88,SQL
467,J89,Java
468,J89,AWS
469,J89,Spring Boot
470,J89,Data Structures
471,J89,Algorithms
472,J90,International Sales
473,J91,AWS
474,J91,MySQL
475,J91,API Testing
476,J91,MongoDB
477,J91,Spring Boot
478,J92,Kotlin
479,J93,SAP ERP
480,J94,C++
481,J94,InDesign
482,J95,Python
483,J95,Machine Learning
484,J95,NLP
485,J96,Vue.js
486,J96,JavaScript
487,J96,HTML
488,J96,CSS
489,J97,Python
490,J97,SQL
491,J98,Credit Cards
492,J98,Product Management
493,J99,Hadoop
494,J99,Jenkins
495,J99,Kafka
496,J99,Spark
497,J99,Unix
498,J100,Sales
499,J100,Business Development
500,J100,Direct Sales
501,J100,Corporate Sales
502,J100,International Sales
503,J101,Java
504,J101,Microservices
505,J101,Spring Boot
506,J101,Architecture
507,J101,AWS
508,J102,CI - CD
509,J102,Jenkins
510,J102,AWS
511,J102,Python
512,J102,Java
513,J103,.NET
514,J103,LINQ
515,J103,Git
516,J104,Kubernetes
517,J105,C++
518,J105,InDesign
519,J106,Machine Learning
520,J106,NLP
521,J106,Python
522,J106,Data Analysis
523,J106,SQL
524,J107,Sales
525,J107,Business Development
526,J108,Python
527,J108,Django
528,J108,Flask
529,J109,Python
530,J109,Django
531,J109,Flask
532,J110,JavaScript
533,J110,React Native
534,J110,React.js
535,J111,Angular
536,J111,HTML
537,J111,CSS
538,J111,JavaScript
539,J112,PHP
540,J112,Wordpress
541,J112,HTML
542,J112,jQuery
543,J112,Jira
544,J113,SAP FICO
545,J113,IDOC
546,J113,SAP HANA
547,J113,SAP Fiori
548,J114,Product Management
549,J114,Project Management
550,J114,Enterprise Software
551,J114,Consumer Software
552,J114,PMP
553,J115,Python
554,J115,Data Structures
555,J115,Algorithms
556,J116,Java
557,J116,SQL
558,J116,Data Structures
559,J116,NoSQL
560,J116,Microservices
561,J117,Python
562,J117,Django
563,J117,Flask
564,J117,Data Structures
565,J117,AWS
566,J118,Python
567,J118,Machine Learning
568,J118,AWS
569,J118,NLP
570,J118,Data Analysis
571,J119,Machine Learning
572,J119,Google Cloud
573,J119,BigQuery
574,J119,Python
575,J119,MLOps
576,J120,Python
577,J120,SQL
